5602,1784309751.537553623,5610,0,8
5602,1784309752.718001637,5610,0,8
5602,1784309753.862184209,5610,0,8
5602,1784309755.019840929,5610,0,8
5602,1784309756.154903380,5610,0,8
5604,1784309757.334656709,5612,0,8
5608,1784309758.538502618,5616,0,8
5608,1784309759.701025715,5616,0,8
5608,1784309760.848327347,5616,0,8
5608,1784309762.012651529,5616,0,8
5608,1784309763.182998622,5616,68,8
5608,1784309764.374474974,5616,85,8
5608,1784309765.524686106,5616,68,8
5608,1784309766.696329564,5616,17,8
5608,1784309767.899968829,5616,77,8
5608,1784309769.064531996,5616,100,8
5608,1784309770.290153657,5616,100,8
5608,1784309771.439706766,5616,0,8
5608,1784309772.589264735,5616,100,8
5608,1784309773.746241281,5616,100,8
5608,1784309774.906871410,5616,100,8
5608,1784309776.054331346,5616,0,8
5608,1784309777.254392970,5616,100,8
5608,1784309778.461664656,5616,67,8
5608,1784309779.665545795,5616,99,8
5608,1784309780.815773246,5616,0,8
5608,1784309782.029959780,5616,100,8
5608,1784309783.198934765,5616,87,8
5608,1784309784.323640429,5616,100,8
5608,1784309785.505107111,5616,0,8
5608,1784309786.724586161,5616,81,8
5608,1784309787.925701674,5616,100,8
5608,1784309789.122537333,5616,75,8
5608,1784309790.222466924,5616,100,8
5608,1784309791.367311798,5616,71,8
5608,1784309792.523077510,5616,63,8
5608,1784309793.705291247,5616,100,8
5608,1784309794.854898006,5616,100,8
5608,1784309796.006828731,5616,0,8
5608,1784309797.171387447,5616,56,8
5608,1784309798.336440623,5616,100,8
5608,1784309799.531227501,5616,100,8
5608,1784309800.724221433,5616,95,8
5608,1784309801.934636761,5616,49,8
5608,1784309803.102408151,5616,100,8
5608,1784309804.278499517,5616,100,8
5608,1784309805.463131922,5616,84,8
5608,1784309806.655055252,5616,100,8
5608,1784309807.829581137,5616,69,8
5608,1784309809.060913691,5616,64,8
5608,1784309810.238355083,5616,100,8
5608,1784309811.410999140,5616,100,8
5608,1784309812.566568807,5616,100,8
5608,1784309813.782482984,5616,100,8
5608,1784309814.968634289,5616,83,8
5608,1784309816.126716796,5616,100,8
5608,1784309817.340918260,5616,100,8
5608,1784309818.568969608,5616,63,8
5608,1784309819.765199244,5616,100,8
5608,1784309820.921392463,5616,92,8
5608,1784309822.093541200,5616,100,8
