3089332,1784306868.495072217
3089332,1784306869.561403491
3089332,1784306870.617647501
3089332,1784306871.673777508
3089332,1784306872.744360765
3089332,1784306873.818983142
3099084,1784306874.892002287
3099084,1784306875.951168431
3099084,1784306877.021324096
3099084,1784306878.107645846
3099876,1784306879.171915051
3100140,1784306880.236973651
3100668,1784306881.311196564
3100668,1784306882.399329787
3100668,1784306883.488513840
3101400,1784306884.567259892
3101400,1784306885.645624136
3101400,1784306886.735083651
3101400,1784306887.822932514
3101664,1784306888.912613343
3101664,1784306890.003833371
3101664,1784306891.095419087
3101664,1784306892.184848468
3101664,1784306893.275181497
3101664,1784306894.364349130
3102428,1784306895.451774809
3102428,1784306896.542805329
3102428,1784306897.633323707
3102428,1784306898.722616601
3102428,1784306899.812593167
3102428,1784306900.890594122
3102428,1784306901.958686347
3102428,1784306903.020105056
3102428,1784306904.082119337
3102428,1784306905.142285670
3102428,1784306906.217108987
3102428,1784306907.277421761
3102428,1784306908.349127294
3102428,1784306909.431890058
3103212,1784306910.522984799
3103668,1784306911.606860824
3103668,1784306912.693108485
3103668,1784306913.770788334
3104196,1784306914.860068296
3104196,1784306915.950527939
3104196,1784306917.036461882
3104196,1784306918.124917014
3104196,1784306919.213625550
3104196,1784306920.303087001
3104196,1784306921.391147973
3104196,1784306922.482878098
3104196,1784306923.558259933
3104196,1784306924.645110198
3104196,1784306925.732896182
3104196,1784306926.800616391
3104196,1784306927.890222819
3104196,1784306928.949972057
3104196,1784306930.029978651
3104196,1784306931.103071555
3104196,1784306932.176475395
3104196,1784306933.257582148
3104196,1784306934.329625969
3104196,1784306935.413837094
3104196,1784306936.496242191
3104196,1784306937.568988934
3104196,1784306938.631934289
3104196,1784306939.712150580
3104196,1784306940.802849842
3104460,1784306941.890965210
3104460,1784306942.982215011
3104460,1784306944.072312257
3104460,1784306945.162873673
3104460,1784306946.253151902
3104460,1784306947.342534411
3104460,1784306948.437530163
3104460,1784306949.530436182
3104460,1784306950.616382672
3104460,1784306951.702952312
3104460,1784306952.784066562
3104460,1784306953.865623861
3104880,1784306954.952947645
3104880,1784306956.042191106
3104880,1784306957.132872475
3104880,1784306958.216945692
3104880,1784306959.304398855
3104880,1784306960.391752725
3104880,1784306961.483423161
3104880,1784306962.569987185
3104880,1784306963.661757872
3104880,1784306964.755523338
3104880,1784306965.845720572
3104880,1784306966.931290272
3104880,1784306968.025067927
3104880,1784306969.114008673
3104880,1784306970.206308286
3104880,1784306971.296422184
3104880,1784306972.389304738
3104880,1784306973.481227711
3105144,1784306974.570606083
3105144,1784306975.660918423
3105144,1784306976.750484317
3105144,1784306977.840676143
3105144,1784306978.930982260
3105144,1784306980.020232545
3105144,1784306981.104738035
3105144,1784306982.190628592
3105144,1784306983.283771453
3105144,1784306984.373209210
3105144,1784306985.462001203
3105144,1784306986.550959628
3105144,1784306987.634263770
3105144,1784306988.716867607
3105144,1784306989.805895062
3105144,1784306990.893079079
3105144,1784306991.975145463
3105144,1784306993.066805299
3105144,1784306994.156054065
3105144,1784306995.244442474
3105144,1784306996.334305411
3105144,1784306997.426625288
3105144,1784306998.521951583
3105144,1784306999.612516034
3105144,1784307000.701159774
3105144,1784307001.787515208
3105144,1784307002.860924162
3105144,1784307003.950247534
3105144,1784307005.039462523
3105144,1784307006.127731872
3105144,1784307007.217940550
3105144,1784307008.309140457
3105144,1784307009.401473346
3105144,1784307010.491145091
3105144,1784307011.581618771
3105144,1784307012.673033190
3105144,1784307013.760708673
3105144,1784307014.849117680
3105144,1784307015.938239401
3105144,1784307017.028017464
3105144,1784307018.121394828
3105144,1784307019.211336973
3105144,1784307020.299293748
3105144,1784307021.389468546
3105144,1784307022.482692585
3105144,1784307023.572454724
3105144,1784307024.663424987
3105144,1784307025.743524801
3105144,1784307026.830950211
3105144,1784307027.921593675
3105144,1784307028.998999473
3105144,1784307030.086058274
3105144,1784307031.175922131
3105144,1784307032.262355578
3105144,1784307033.353144661
3105144,1784307034.443639959
3105144,1784307035.532450881
3105144,1784307036.615380416
3105144,1784307037.706675477
3105144,1784307038.796889226
3105144,1784307039.873461341
3105144,1784307040.945758490
3105144,1784307042.013766743
3105144,1784307043.086828926
3105144,1784307044.145569762
3105144,1784307045.229779417
3105144,1784307046.291542892
3105144,1784307047.372132044
3105144,1784307048.447891088
3105144,1784307049.534712523
3105144,1784307050.622554378
3105144,1784307051.714432163
3105144,1784307052.788818607
3105144,1784307053.878317593
3105144,1784307054.966959002
3105144,1784307056.047859345
3105144,1784307057.136672125
3105144,1784307058.225910924
3105144,1784307059.314402227
3105144,1784307060.406212206
3105144,1784307061.495265529
3105144,1784307062.585820771
3105144,1784307063.675651509
3105144,1784307064.767173610
3105144,1784307065.857791221
3105144,1784307066.946614917
3105144,1784307068.041959122
3105144,1784307069.131668294
3105144,1784307070.221104490
3105144,1784307071.307691818
3105144,1784307072.401473410
3105144,1784307073.493693050
3105144,1784307074.582942099
3105144,1784307075.671137438
3105144,1784307076.757104730
3105144,1784307077.849101244
3105144,1784307078.938719709
3105144,1784307080.030661689
3105144,1784307081.118725702
3105144,1784307082.189266384
3105144,1784307083.257682132
3105144,1784307084.340601790
3105144,1784307085.415577848
3105144,1784307086.473143909
3105144,1784307087.530750009
3105144,1784307088.597759986
3105144,1784307089.662043579
3105144,1784307090.736845641
3105144,1784307091.816151583
3105144,1784307092.878900814
3105144,1784307093.947776866
3105144,1784307095.030144458
3105144,1784307096.110694652
3105144,1784307097.194809837
3105144,1784307098.275676267
3105144,1784307099.360471835
3105144,1784307100.440271962
3105144,1784307101.528647310
3105144,1784307102.610188132
3105144,1784307103.694340265
3105144,1784307104.783146230
3105144,1784307105.871800572
3105144,1784307106.959686437
3105144,1784307108.038148934
3105144,1784307109.129985318
3105144,1784307110.219031135
3105144,1784307111.312028171
3105144,1784307112.384746341
3105144,1784307113.472438569
3105144,1784307114.558185888
3105144,1784307115.644219183
3105144,1784307116.716500222
3105144,1784307117.794279300
3105144,1784307118.885348214
3105144,1784307119.975201902
3105144,1784307121.066393547
3105144,1784307122.159125122
3105144,1784307123.250658173
3105144,1784307124.341257655
3105144,1784307125.432407177
3105144,1784307126.521364064
3105144,1784307127.605536745
3105144,1784307128.695455041
3105144,1784307129.782446847
3105144,1784307130.863797851
3105144,1784307131.955194664
3105144,1784307133.043780272
3105144,1784307134.131741945
3105144,1784307135.215284631
3105144,1784307136.299969708
3105144,1784307137.392036192
3105144,1784307138.483565056
3105144,1784307139.574070428
3105144,1784307140.641238993
3105144,1784307141.705532201
3105144,1784307142.777846039
3105144,1784307143.849738447
3105144,1784307144.908098054
3105144,1784307145.981874699
3105144,1784307147.036338499
3105144,1784307148.111740285
3105144,1784307149.179026779
3105144,1784307150.259480516
3105144,1784307151.322223988
3105144,1784307152.380876788
3105144,1784307153.450369804
3105144,1784307154.512894271
3105144,1784307155.582651001
3105144,1784307156.645630386
3105144,1784307157.712952556
3105144,1784307158.781232776
3105144,1784307159.870634307
3105144,1784307160.958733581
3105144,1784307162.042994038
3105144,1784307163.126038390
3105144,1784307164.215700425
3105144,1784307165.305808277
3105144,1784307166.393155893
3105144,1784307167.481767245
3105144,1784307168.575902057
3105144,1784307169.665992246
3105144,1784307170.756386232
3105144,1784307171.845741348
3105144,1784307172.935756177
3105144,1784307174.027280963
3105144,1784307175.112375602
3105144,1784307176.202155533
3105144,1784307177.291703909
3105144,1784307178.383403987
3105144,1784307179.475594655
3105144,1784307180.565529778
3105144,1784307181.656615513
3105144,1784307182.748782469
3105144,1784307183.838841022
3105144,1784307184.929558078
3105144,1784307186.019867605
3105144,1784307187.111971898
3105144,1784307188.204734793
3105144,1784307189.294807324
3105144,1784307190.383018798
3105144,1784307191.441192521
3105144,1784307192.516613289
3105144,1784307193.590662148
3105144,1784307194.649047305
3105144,1784307195.720382109
3105144,1784307196.787907618
