5586,1784310578.266849754,5594,0,8
5586,1784310579.426230097,5594,0,8
5586,1784310580.596625827,5594,0,8
5586,1784310581.746486050,5594,0,8
5586,1784310582.895187330,5594,0,8
5586,1784310584.059442259,5594,0,8
5594,1784310585.267473218,5602,24,8
5594,1784310586.472362235,5602,23,8
5594,1784310587.645425009,5602,0,8
5594,1784310588.813577045,5602,0,8
5594,1784310590.020061374,5602,17,8
5594,1784310591.170415736,5602,26,8
5594,1784310592.366273763,5602,74,8
5594,1784310593.598067195,5602,24,8
5594,1784310594.804104764,5602,0,8
5594,1784310595.994340410,5602,27,8
5594,1784310597.182587596,5602,27,8
5594,1784310598.353601939,5602,26,8
5594,1784310599.508718326,5602,25,8
5594,1784310600.664569498,5602,30,8
5594,1784310601.853427836,5602,26,8
5594,1784310603.045009608,5602,26,8
5594,1784310604.216999251,5602,26,8
5594,1784310605.383542635,5602,26,8
5594,1784310606.564093618,5602,0,8
5594,1784310607.728195153,5602,27,8
5594,1784310608.925816255,5602,27,8
5594,1784310610.122906577,5602,25,8
5594,1784310611.328356335,5602,24,8
5594,1784310612.511399787,5602,27,8
5594,1784310613.680702266,5602,27,8
5594,1784310614.852714299,5602,25,8
5594,1784310616.025382625,5602,26,8
5594,1784310617.193711905,5602,24,8
5594,1784310618.387233625,5602,28,8
5594,1784310619.532664270,5602,91,8
5594,1784310620.713374746,5602,34,8
5594,1784310621.882915140,5602,26,8
5594,1784310623.054241809,5602,26,8
5594,1784310624.242017145,5602,27,8
5594,1784310625.434506055,5602,26,8
5594,1784310626.586394468,5602,26,8
5594,1784310627.730038127,5602,26,8
5594,1784310628.888610102,5602,26,8
5594,1784310630.069648995,5602,23,8
5594,1784310631.255469982,5602,94,8
5594,1784310632.446277309,5602,26,8
5594,1784310633.608955686,5602,27,8
5594,1784310634.754596965,5602,27,8
5594,1784310635.933764190,5602,88,8
5594,1784310637.095515458,5602,53,8
5594,1784310638.271606493,5602,26,8
5594,1784310639.449811988,5602,26,8
5594,1784310640.592528089,5602,27,8
5594,1784310641.786688422,5602,27,8
5594,1784310642.957136443,5602,26,8
5594,1784310644.104517377,5602,24,8
5594,1784310645.270777855,5602,27,8
5594,1784310646.454498451,5602,26,8
5594,1784310647.610996225,5602,27,8
5594,1784310648.828449181,5602,25,8
5594,1784310649.997343922,5602,27,8
5594,1784310651.203967833,5602,66,8
5594,1784310652.382937134,5602,25,8
