5602,1784311660.017502948,5610,0,8
5602,1784311661.152179385,5610,0,8
5602,1784311662.264018146,5610,0,8
5602,1784311663.424741223,5610,0,8
5602,1784311664.588028028,5610,0,8
5602,1784311665.807393138,5610,0,8
5604,1784311666.992015699,5612,0,8
5604,1784311668.154800595,5612,0,8
5604,1784311669.356576441,5612,37,8
5604,1784311670.538754774,5612,0,8
5604,1784311671.716854135,5612,0,8
5604,1784311672.900905610,5612,36,8
5604,1784311674.053594677,5612,38,8
5604,1784311675.259417608,5612,37,8
5604,1784311676.438001462,5612,0,8
5604,1784311677.623869684,5612,43,8
5604,1784311678.782430968,5612,38,8
5604,1784311679.938218323,5612,39,8
5604,1784311681.100785292,5612,42,8
5604,1784311682.297101082,5612,41,8
5604,1784311683.476335652,5612,41,8
5604,1784311684.662518776,5612,0,8
5604,1784311685.819854082,5612,30,8
5604,1784311686.985182555,5612,41,8
5604,1784311688.134022641,5612,40,8
5604,1784311689.294823168,5612,0,8
5604,1784311690.451053114,5612,39,8
5604,1784311691.625816122,5612,42,8
5604,1784311692.811929832,5612,41,8
5604,1784311694.011177715,5612,0,8
5604,1784311695.157723970,5612,40,8
5604,1784311696.344867315,5612,41,8
5604,1784311697.532624868,5612,56,8
5604,1784311698.703424387,5612,41,8
5604,1784311699.891635605,5612,42,8
5604,1784311701.069691365,5612,41,8
5604,1784311702.248112589,5612,42,8
5604,1784311703.434488632,5612,41,8
5604,1784311704.614085299,5612,40,8
5604,1784311705.828103696,5612,76,8
5604,1784311707.031151353,5612,42,8
5604,1784311708.196230744,5612,42,8
5604,1784311709.381849623,5612,37,8
5604,1784311710.553888649,5612,41,8
5604,1784311711.738374654,5612,41,8
5604,1784311712.905690638,5612,42,8
5604,1784311714.090493427,5612,39,8
5604,1784311715.240871603,5612,41,8
5604,1784311716.430226203,5612,79,8
5604,1784311717.598889832,5612,41,8
5604,1784311718.806653597,5612,41,8
5604,1784311720.013021168,5612,41,8
5604,1784311721.161862015,5612,41,8
5604,1784311722.350835421,5612,43,8
5604,1784311723.502257035,5612,43,8
5604,1784311724.718267526,5612,40,8
5604,1784311725.920017465,5612,43,8
5604,1784311727.091042008,5612,41,8
5604,1784311728.242204277,5612,40,8
5604,1784311729.432731630,5612,40,8
5604,1784311730.585501354,5612,42,8
5604,1784311731.771834748,5612,40,8
5604,1784311732.944523235,5612,41,8
5604,1784311734.096385065,5612,0,8
5604,1784311735.280544503,5612,42,8
5604,1784311736.452821434,5612,41,8
5604,1784311737.620956516,5612,39,8
5604,1784311738.801701752,5612,39,8
5604,1784311739.957039664,5612,41,8
5604,1784311741.102402710,5612,41,8
5604,1784311742.289234234,5612,0,8
5604,1784311743.494037734,5612,39,8
5604,1784311744.663011488,5612,41,8
5604,1784311745.828565042,5612,40,8
5604,1784311746.996460320,5612,80,8
5604,1784311748.163743252,5612,43,8
5604,1784311749.345376058,5612,39,8
5604,1784311750.532593229,5612,0,8
5604,1784311751.721547438,5612,42,8
5604,1784311752.900940683,5612,41,8
5604,1784311754.086093066,5612,41,8
5604,1784311755.227766238,5612,0,8
5604,1784311756.429652074,5612,41,8
5604,1784311757.622199999,5612,40,8
5604,1784311758.773334726,5612,39,8
